Teff,feh,logg,u_g,g_r,r_i,i_z,sigma_phot
8029.506,-2.165983,3.857943,1.0307099999999991,0.17728999999999928,0.030739999999999768,0.039369999999999905,0.007112344697099526
8579.121,-0.8352666,3.899754,1.497819999999999,0.27693999999999974,0.10298000000000052,0.11918000000000006,0.006628728179159936
8459.776,-0.1183738,3.945248,1.6798399999999987,0.3857499999999998,0.15461999999999954,0.15427999999999997,0.008305009898069537
8803.2,-0.4812317,4.3,1.460510000000001,0.25858000000000025,0.10310999999999915,0.07075999999999993,0.007117665788349963
8430.848,-0.7871063,4.436244,1.5160100000000014,0.3125099999999996,0.10871999999999815,0.12530000000000285,0.012787682148100804
7869.506,-0.038197,3.868675,1.711500000000001,0.4152299999999993,0.17796000000000056,0.170910000000001,0.007479989085726329
8296.516,-0.3822014,4.408252,1.6865799999999993,0.38944000000000045,0.16067999999999927,0.11366000000000298,0.011999792454102518
8363.272,-0.5828701,4.167142,1.654320000000002,0.3683999999999976,0.1505900000000011,0.15120999999999896,0.010693039752542023
8448.638,-1.12081,3.451118,1.1877700000000022,0.26590999999999987,0.05861999999999945,0.07499999999999929,0.006591786047243171
7987.504,0.02797061,4.168442,1.700400000000002,0.42956999999999823,0.30286999999999864,0.040680000000001826,0.011532432603716159
8182.456,-0.0765278,4.104743,1.5914699999999975,0.5501200000000015,0.26083000000000034,0.14782999999999902,0.008679201224143816
8564.406,-0.5826265,4.0374,1.4795599999999993,0.277079999999998,0.08958000000000155,0.10670999999999964,0.009061463864163049
7580.771,-0.3372981,4.25228,1.504360000000002,0.36877999999999744,0.15300000000000225,-0.05442000000000036,0.018764486450087544
5413.976,-0.2533904,4.443863,2.009920000000001,1.0331100000000006,0.38392999999999944,0.27308999999999983,0.02163009678866897
7408.624,-0.3836671,4.054401,1.3958699999999986,0.5319700000000012,0.24436000000000035,0.1616800000000005,0.011715725413756184
8811.807,-1.254052,4.3,1.3266500000000008,0.12321999999999989,0.0032999999999994145,0.021910000000000096,0.006101216498549716
8548.984,-0.104604,4.261255,1.4725100000000033,0.3589199999999977,0.13217000000000212,0.12456999999999852,0.010718149790884956
5504.323,0.1064657,3.962063,2.2446599999999997,0.9731099999999984,0.3708999999999989,0.24724000000000146,0.030076931252422338
6847.793,-0.2387225,4.047478,1.3503299999999996,0.5276399999999981,0.2077200000000019,0.14033999999999835,0.008832986038599094
8554.153,-1.49242,3.988011,1.2479499999999994,0.13348999999999833,0.00981000000000165,0.04400000000000048,0.009806315055098628
8718.837,-1.143239,4.273829,1.3485600000000026,0.15490999999999744,0.014610000000001122,0.02516999999999925,0.007981519720775846
8681.943,-0.4775635,4.052007,1.5998900000000003,0.29537999999999975,0.11967000000000105,0.11223000000000027,0.006974126811330648
8812.729,-0.9088526,4.247076,1.4185999999999996,0.1909200000000002,0.031340000000000146,0.053309999999999746,0.007043787108032742
6453.947,-0.2733535,3.807414,1.5094999999999992,0.7089099999999995,0.3276400000000024,0.1912300000000009,0.013385177741462447
8370.494,-0.7222528,4.377813,1.580530000000003,0.31803000000000026,0.12353999999999843,0.109729999999999,0.01194528943581655
8415.48,-0.9670432,4.267775,1.5865799999999979,0.3630500000000012,0.15538000000000096,0.14602999999999966,0.00956463055899845
6371.512,0.01116543,3.974815,1.5505800000000018,0.7094699999999996,0.2770500000000009,0.16964999999999897,0.006823536506124719
